Index,Field Name,Field Type,Fixture Key,Has Value,Status
142,"Loan Assumption Addendum_2",PDFCheckBox,addendum_loan_assumption,True,PASS
143,"Addendum for Property Located Seaward",PDFCheckBox,addendum_coastal,True,PASS
144,"Addendum for Sale of Other Property by",PDFCheckBox,addendum_other_property_sale,True,PASS
145,"Addendum for Reservation of Oil Gas",PDFCheckBox,addendum_oil_gas,True,PASS
146,"Addendum for BackUp Contract",PDFCheckBox,notes,True,PASS
147,"Check Box8",PDFCheckBox,notes,True,PASS
148,"System Service Area",PDFTextField,notes,True,PASS
149,"Addendum for Property in a Propane Gas",PDFCheckBox,addendum_propane,True,PASS
150,"Check Box9",PDFCheckBox,notes,True,PASS
151,"Initialed for identification by Buyer_5",PDFTextField,buyer_initials,True,PASS
152,"and Seller_7",PDFTextField,seller_initials,True,PASS
153,"undefined_22",PDFTextField,notes,True,PASS
154,"undefined_23",PDFTextField,notes,True,PASS
155,"1",PDFTextField,notes,True,PASS
156,"at",PDFTextField,notes,True,PASS
157,"AC1",PDFTextField,notes,True,PASS
158,"Phone 51",PDFTextField,seller_agent_phone,True,PASS
159,"Phone 52",PDFTextField,buyer_agent_phone,True,PASS
160,"undefined_19",PDFTextField,notes,True,PASS
161,"at_2",PDFTextField,notes,True,PASS
162,"AC4",PDFTextField,notes,True,PASS
163,"Fax 52",PDFTextField,notes,True,PASS
164,"when the Listing Brokers fee is received Escrow agent is authorized and directed to pay Other Broker from",PDFTextField,listing_broker_firm,True,PASS
165,"when mailed to handdelivered at or transmitted by fax or electronic transmission as follows",PDFTextField,notes,True,PASS
166,"Associates Name",PDFTextField,seller_agent_name,True,PASS
167,"Listing Associates Name",PDFTextField,listing_agent_name,True,PASS
168,"Selling Associates Name",PDFTextField,selling_agent_name,True,PASS
169,"Address of Property_2",PDFTextField,property_address_line1,True,PASS
170,"is acknowledged",PDFTextField,notes,True,PASS
171,"Option Fee in the form of",PDFTextField,option_fee,True,PASS
172,"Seller or Listing Broker",PDFTextField,listing_broker_firm,True,PASS
173,"Date",PDFTextField,effective_date,True,PASS
174,"is acknowledged_2",PDFTextField,notes,True,PASS
175,"Earnest Money in the form of",PDFTextField,earnest_money,True,PASS
176,"Escrow Agent",PDFTextField,earnest_holder_name,True,PASS
177,"Received by",PDFTextField,notes,True,PASS
178,"Address",PDFTextField,property_address_line1,True,PASS
179,"City_4",PDFTextField,city,True,PASS
180,"State_4",PDFTextField,notes,True,PASS
181,"Zip_4",PDFTextField,notes,True,PASS
182,"Email Address",PDFTextField,property_address_line1,True,PASS
183,"DateTime",PDFTextField,effective_date,True,PASS
184,"Phone_6",PDFTextField,listing_agent_phone,True,PASS
185,"Fax",PDFTextField,notes,True,PASS
186,"Escrow Agent_2",PDFTextField,earnest_holder_name,True,PASS
187,"Received by_2",PDFTextField,notes,True,PASS
188,"Address_2",PDFTextField,property_address_line1,True,PASS
189,"City_5",PDFTextField,city,True,PASS
190,"State_5",PDFTextField,notes,True,PASS
191,"Zip_5",PDFTextField,notes,True,PASS
192,"Email Address_2",PDFTextField,property_address_line1,True,PASS
193,"Date_2",PDFTextField,effective_date,True,PASS
194,"Phone_7",PDFTextField,listing_agent_phone,True,PASS
195,"Fax_2",PDFTextField,notes,True,PASS
196,"is acknowledged_3",PDFTextField,notes,True,PASS
197,"additional Earnest Money in the form of",PDFTextField,earnest_money,True,PASS
198,"Escrow Agent_3",PDFTextField,earnest_holder_name,True,PASS
199,"Received by_3",PDFTextField,notes,True,PASS
200,"Address_3",PDFTextField,property_address_line1,True,PASS
201,"City_6",PDFTextField,city,True,PASS
202,"State_6",PDFTextField,notes,True,PASS
203,"Zip_6",PDFTextField,notes,True,PASS
204,"Email Address_3",PDFTextField,property_address_line1,True,PASS
205,"DateTime_2",PDFTextField,effective_date,True,PASS
206,"Phone_8",PDFTextField,listing_agent_phone,True,PASS
207,"Fax_3",PDFTextField,notes,True,PASS
208,"Within one",PDFCheckBox,notes,True,PASS
209,"Within two",PDFCheckBox,notes,True,PASS
210,"Within three",PDFCheckBox,notes,True,PASS
211,"Within four",PDFCheckBox,notes,True,PASS
212,"AC numb 1",PDFTextField,notes,True,PASS
213,"AC numb 2",PDFTextField,notes,True,PASS
214,"AC numb 3",PDFTextField,notes,True,PASS
215,"AC numb 4",PDFTextField,notes,True,PASS
216,"undefined numb 21",PDFTextField,notes,True,PASS
217,"Associates Name numb 1",PDFTextField,seller_agent_name,True,PASS
218,"Addr of Prop",PDFTextField,property_address_line1,True,PASS
219,"Buyer only",PDFCheckBox,buyer_names,True,PASS
220,"Seller as List Brok Sub agent",PDFCheckBox,seller_names,True,PASS
221,"List Assoc Name",PDFTextField,notes,True,PASS
222,"when mailed to",PDFTextField,notes,True,PASS
223,"Sellers Disclos",PDFCheckBox,seller_names,True,PASS
224,"Addend. for Sellers Disclos",PDFCheckBox,seller_names,True,PASS
225,"Check box 10",PDFCheckBox,notes,True,PASS
226,"Check box 11",PDFCheckBox,notes,True,PASS
227,"As Is",PDFCheckBox,possession_type,True,PASS
228,"As Is except",PDFCheckBox,possession_type,True,PASS
229,"3 days prior",PDFTextField,notes,True,PASS
230,"upon",PDFCheckBox,notes,True,PASS
231,"PID",PDFCheckBox,notes,True,PASS
232,"Brokers and Sales 2",PDFTextField,special_provisions,True,PASS
233,"Brokers and Sales",PDFTextField,special_provisions,True,PASS
234,"other party in writing before entering into a contract of sale  Disclose if applicable",PDFTextField,other_broker_firm,True,PASS
235,"as earnest money to",PDFTextField,earnest_money,True,PASS
236,"as earnest money to 2",PDFTextField,earnest_money,True,PASS
237,"Text4 2",PDFTextField,notes,True,PASS
238,"Text4",PDFTextField,notes,True,PASS
239,"Text4 3",PDFTextField,notes,True,PASS
240,"Text3",PDFTextField,notes,True,PASS
241,"Text3 2",PDFTextField,notes,True,PASS
242,"Text3 3",PDFTextField,notes,True,PASS
243,"undefined_20",PDFTextField,notes,True,PASS
244,"undefined numb 22",PDFTextField,notes,True,PASS
245,"Selling Associates Name-1",PDFTextField,selling_agent_name,True,PASS
246,"undefined_20-0",PDFTextField,notes,True,PASS
247,"undefined numb 22-0",PDFTextField,notes,True,PASS
